data	V1	V2	V3	V4	V5	V6	V7	V9	V10	V11	V12	V13	V14	V15	V16	V17	V21	V22	V23	V24	V25	V26	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V40	V46	V47	V66	V67	V69	V70	V71	V75	V76	V81	V82	V83	V84	V85	V86	V87	V88	V89	V93	V94	V95	V96	V97	V107	V112	V113	V114	V115	V116	V117	V118	V119	V120	V121
2T14	0.40	0.47	0.25	0.36	0.52	0.04	0.33	-0.63	-0.74	-0.67	0.66	0.53	0.73	0.71	0.61	0.56	0.82	0.41	6475.22	7314.38	6871.53	10.78	3427.85	3316.60	3876.06	222858.60	147571632.00	167876.97	628926415.00	169699.06	2061091.34	4101325.34	4428178.55	3.87	354.10	3.76	18119.23	20466.92	373516.00	-4723.40	-86344.20	5575643.60	107.37	478.33	96.10	100.90	95.30	92.20	97.20	95.40	75.80	100.10	215.93	205.20	8.19	2.54	5.86	263557.00	2100.48	-68528.21	-1.23	20.38	27.12	-6.74	1755147.00	2067282.13	-312135.13	458516.50
3T14	0.57	0.39	0.40	0.66	0.59	0.21	0.49	0.02	0.20	0.31	0.15	0.43	0.58	0.55	0.57	0.54	0.91	0.41	6645.25	7434.50	7007.94	11.24	3505.14	3390.37	3970.23	238409.38	155524579.00	169747.23	645474104.00	170413.24	2110060.14	4306043.94	4641249.96	3.78	-25.60	-11.70	20559.44	19616.60	375513.00	-8016.30	-89481.00	5683636.60	118.92	474.53	99.30	106.20	98.00	102.20	97.20	100.20	96.90	102.00	300.81	286.24	11.79	2.78	7.26	296286.00	25490.99	-31055.01	-0.55	20.80	28.24	-7.44	1822791.46	2169109.96	-346318.50	476520.60
4T14	0.78	0.79	0.43	0.62	1.11	0.30	0.75	0.38	0.62	0.98	0.08	0.50	0.87	0.73	0.68	0.49	0.96	0.41	6816.50	7588.81	7165.50	12.60	3585.12	3459.38	4065.92	263528.52	178251606.00	185709.70	664847301.00	185109.93	2186471.97	4438289.48	4774925.27	3.55	-7.80	-8.62	17197.72	17490.74	363551.00	-9415.40	-101431.10	5778953.00	112.95	467.34	95.30	107.50	94.70	81.50	97.10	96.30	90.30	98.40	203.84	199.53	3.70	604.00	3.80	370001.00	12894.24	32535.92	0.56	20.78	29.15	-8.37	1883146.99	2277813.14	-394666.15	499867.70
1T15	1.32	1.24	3.36	0.57	0.81	0.70	1.41	1.21	0.98	0.83	0.62	0.66	0.57	1.34	0.78	0.76	1.04	0.45	7005.15	7713.56	7312.16	13.37	3706.43	3610.33	4180.93	240656.35	161628667.00	163630.08	652549189.00	166300.29	2183104.35	4475838.27	4836693.75	3.55	25.00	-0.84	16518.67	16978.97	362744.00	-5759.10	-97567.40	5849844.40	106.86	488.12	94.90	111.30	92.70	85.60	96.50	93.30	85.40	95.90	255.07	244.91	7.37	2.79	6.00	234658.00	-239.36	39164.49	0.67	19.49	29.84	-10.35	1847658.07	2344741.26	-497083.18	501752.20
2T15	0.79	0.99	1.12	0.68	0.69	0.47	0.82	0.68	0.67	0.57	1.84	0.71	0.68	0.89	0.77	0.72	1.07	0.49	7198.09	7964.60	7536.69	14.23	3884.03	3717.31	4433.08	231958.72	158752497.00	154041.83	648879274.00	159866.80	2200717.40	4563586.14	4951069.51	3.74	-246.40	0.61	15099.38	19628.44	368668.00	-3144.70	-90239.50	5907686.90	90.58	476.26	91.20	109.50	88.90	73.70	94.10	90.40	73.30	94.80	187.19	180.10	5.28	1.80	3.63	212522.00	9323.15	45692.00	0.77	20.96	30.39	-9.42	1962809.11	2414053.43	-451244.32	486647.50
3T15	0.54	0.39	0.92	0.46	0.38	0.66	0.42	1.42	0.95	0.61	0.22	0.59	0.55	0.55	0.69	0.64	1.11	0.53	7435.70	7707.88	7494.05	15.11	3710.20	3795.51	4085.85	228447.46	159475550.00	148631.16	646378452.00	149466.00	2233749.00	4636253.68	5087639.84	3.92	-76.80	-3.36	13202.28	16148.18	361370.00	-2271.90	-76376.60	5953780.30	85.53	469.93	88.30	108.90	86.20	71.00	90.60	89.10	71.50	95.10	173.81	166.27	5.82	1.73	5.08	200075.00	7318.33	25672.81	0.43	18.88	33.24	-14.36	1906018.88	2625743.76	-719724.87	496004.70
4T15	0.96	1.18	0.53	0.91	1.26	0.82	0.88	0.44	0.49	0.81	0.10	0.79	0.86	0.76	0.73	0.79	1.16	0.57	7703.33	7836.90	7676.04	15.18	3903.54	3994.10	4297.95	255288.92	185280417.00	161692.07	659005512.00	161940.17	2334143.09	4854978.07	5312283.12	4.22	-532.50	-3.93	10543.23	16783.23	356464.00	783.40	-54472.20	5995787.00	87.17	457.11	84.70	95.50	83.70	55.90	86.40	87.30	66.60	93.70	141.80	138.68	2.58	541.00	911.00	227724.00	71728.73	111248.87	1.86	21.90	35.52	-13.62	2136888.00	2818760.17	-681872.16	521918.70
1T16	0.43	0.43	-0.36	0.89	0.51	0.97	0.50	0.43	0.51	0.58	0.64	0.63	0.42	0.23	0.48	0.61	1.16	0.60	8014.57	8722.89	8286.17	14.03	4284.15	4207.69	4840.20	242529.93	165467548.00	146901.36	647003070.00	148210.09	2301406.92	4953973.84	5389752.47	4.44	400.40	16.97	11560.72	15991.81	357698.00	-1461.90	-37639.30	6038433.30	89.31	495.97	85.50	94.10	84.20	67.60	87.00	86.90	66.00	94.30	200.35	193.04	5.66	1.65	2.93	179279.00	10643.53	136022.04	2.25	25.40	37.91	-12.51	2314842.91	2946205.56	-631362.66	516985.90
2T16	0.35	0.40	0.24	0.56	0.24	0.65	0.26	1.63	1.69	1.42	1.93	0.49	0.29	0.39	0.49	0.59	1.16	0.60	8274.93	9371.15	8778.66	13.94	4533.79	4347.01	5192.83	234678.11	165291611.00	144587.71	640680041.00	150166.52	2328060.31	5042395.16	5492324.10	4.55	299.90	6.30	12769.49	16738.07	364152.00	-2621.90	-27306.70	6116588.00	98.05	485.75	84.90	95.80	83.70	69.70	86.70	86.40	66.00	92.50	186.25	178.86	5.57	1.82	4.66	171802.00	10061.41	151248.52	2.47	28.55	39.04	-10.49	2529703.02	3057920.54	-528217.52	536459.30
3T16	0.08	0.23	0.37	-0.04	0.01	-0.14	0.07	0.03	0.20	0.36	0.33	0.36	0.16	0.19	0.30	0.34	1.11	0.60	8561.23	9814.49	9157.45	13.34	4762.31	4510.28	5503.56	247035.95	171980674.00	148877.46	645433350.00	151306.40	2351620.45	5205671.45	5652149.89	4.59	-54.30	0.80	11987.44	15800.12	370417.00	-1293.40	-22937.20	6185592.60	106.95	480.78	84.50	98.50	83.30	67.70	86.90	85.40	66.50	91.70	172.11	165.12	4.85	2.14	5.17	159953.00	26642.64	188327.22	3.04	30.68	41.64	-10.96	2699869.47	3262694.71	-562825.23	509975.00
